name,nationality,rating,position1,position2,position3,age,team
Lionel Messi,Argentina,94,CF,RW,ST,31,FC Barcelona
Cristiano Ronaldo,Portugal,94,ST,LW,,33,Juventus
Neymar,Brazil,92,LW,,,26,Paris
De Gea,Spain,91,GK,,,27,Manchester Utd
Kevin De Bruyne,Belgium,91,CAM,CM,,27,Manchester City
Eden Hazard,Belgium,91,LW,CF,,27,Chelsea
Luka Modrić,Croatia,91,CM,CDM,,32,Real Madrid
Luis Suárez,Uruguay,91,ST,,,31,FC Barcelona
Sergio Ramos,Spain,91,CB,,,32,Real Madrid
Jan Oblak,Slovenia,90,GK,,,25,Atlético Madrid
Thibaut Courtois,Belgium,90,GK,,,26,Real Madrid
Robert Lewandowski,Poland,90,ST,,,30,FC Bayern
Toni Kroos,Germany,90,CM,CDM,,28,Real Madrid
Diego Godín,Uruguay,90,CB,,,32,Atlético Madrid
Manuel Neuer,Germany,90,GK,,,32,FC Bayern
N'Golo Kanté,France,89,CDM,CM,,27,Chelsea
Paulo Dybala,Argentina,89,CAM,ST,CF,24,Juventus
Harry Kane,England,89,ST,,,25,Spurs
Isco,Spain,89,CAM,CM,LW,26,Real Madrid
Antoine Griezmann,France,89,ST,,,27,Atlético Madrid
Marc-André ter Stegen,Germany,89,GK,,,26,FC Barcelona
Edinson Cavani,Uruguay,89,ST,,,31,Paris
Mats Hummels,Germany,89,CB,,,29,FC Bayern
David Silva,Spain,89,CAM,CM,,32,Manchester City
Sergio Agüero,Argentina,89,ST,,,30,Manchester City
Giorgio Chiellini,Italy,89,CB,,,34,Juventus
Mohamed Salah,Egypt,88,RW,,,26,Liverpool
Casemiro,Brazil,88,CDM,,,26,Real Madrid
James RodríguezL,Colombia,88,CAM,CM,RM,27,FC Bayern
Lorenzo Insigne,Italy,88,LW,,,27,Napoli
Paul Pogba,France,88,CM,CDM,,25,Manchester Utd
Christian Eriksen,Denmark,88,CAM,RM,CM,26,Spurs
Sergio Busquets,Spain,88,CDM,CM,,30,FC Barcelona
Coutinho,Brazil,88,LW,RW,CM,26,FC Barcelona
Marcelo,Brazil,88,LB,,,30,Real Madrid
Gareth Bale,Wales,88,RW,ST,,29,Real Madrid
Hugo Lloris,France,88,GK,,,31,Spurs
Gonzalo HiguaínL,Argentina,88,ST,,,30,Milan
Thiago Silva,Brazil,88,CB,,,33,Paris
Samir Handanovič,Slovenia,88,GK,,,34,Inter
Gianluigi Buffon,Italy,88,GK,,,40,Paris
Kylian Mbappé,France,87,RW,ST,,19,Paris
Samuel Umtiti,France,87,CB,,,24,FC Barcelona
Mauro Icardi,Argentina,87,ST,,,25,Inter
Kalidou Koulibaly,Senegal,87,CB,,,27,Napoli
Keylor Navas,Costa Rica,87,GK,,,31,Real Madrid
Romelu Lukaku,Belgium,87,ST,,,25,Manchester Utd
Ciro Immobile,Italy,87,ST,,,28,Lazio
Jordi Alba,Spain,87,LB,,,29,FC Barcelona
Pierre-Emerick Aubameyang,Gabon,87,ST,,,29,Arsenal
Alexis Sánchez,Chile,87,LW,LM,ST,29,Manchester Utd
Dries Mertens,Belgium,87,CF,ST,,31,Napoli
Jan Vertonghen,Belgium,87,CB,,,31,Spurs
Marek Hamšík,Slovakia,87,CM,,,31,Napoli
Ivan Rakitić,Croatia,87,CM,,,30,FC Barcelona
Piqué,Spain,87,CB,,,31,FC Barcelona
Iniesta,Spain,87,CM,LM,,34,Vissel Kobe
Leroy Sané,Germany,86,LW,RW,,22,Manchester City
Ederson,Brazil,86,GK,,,25,Manchester City
Sadio Mané,Senegal,86,LW,RW,,26,Liverpool
Roberto Firmino,Brazil,86,CF,ST,,26,Liverpool
Raphaël Varane,France,86,CB,,,25,Real Madrid
Marco Verratti,Italy,86,CM,CDM,,25,Paris
Nicolás Otamendi,Argentina,86,CB,,,30,Manchester City
Nemanja Matić,Serbia,86,CDM,CM,,30,Manchester Utd
Alex Sandro,Brazil,86,LB,LM,,27,Juventus
Douglas Costa,Brazil,86,LM,RW,LW,27,Juventus
Thomas Müller,Germany,86,CF,RW,CAM,28,FC Bayern
Parejo,Spain,86,CM,CAM,CDM,29,Valencia CF
Thiago,Spain,86,CM,CAM,CDM,27,FC Bayern
Azpilicueta,Spain,86,CB,,,28,Chelsea
